,text_latinamerica,text_spain,encoded_latinamerica_spain,encoded_latinamerica,text_prediction
77,"¡Chicos! Cielos, deberíamos hacer eso. Parece muy divertido.",Tenemos que hacer eso. Seguro que ahí lo pasamos bien.,"<s>¡Chicos! Cielos, deberíamos hacer eso. Parece muy divertido.</s>>>>><p>Tenemos que hacer eso. Seguro que ahí lo pasamos bien.</p>","<s>¡Chicos! Cielos, deberíamos hacer eso. Parece muy divertido.</s>>>>><p>",¡Chicos! ¡Chicos! ¡Qué divertido!
78,"Bueno, Georgia, ¿tienes experiencia en política?","Vale. Bueno, Georgia, ¿tienes experiencia en política?","<s>Bueno, Georgia, ¿tienes experiencia en política?</s>>>>><p>Vale. Bueno, Georgia, ¿tienes experiencia en política?</p>","<s>Bueno, Georgia, ¿tienes experiencia en política?</s>>>>><p>",¿Tienes experiencia en política?
79,"""Así que no grites cuando te llevemos..."". ""El mundo está en silencio"".","""Dejas de gritar cuando..."". ""El mundo está en silencio"".","<s>""Así que no grites cuando te llevemos..."". ""El mundo está en silencio"".</s>>>>><p>""Dejas de gritar cuando..."". ""El mundo está en silencio"".</p>","<s>""Así que no grites cuando te llevemos..."". ""El mundo está en silencio"".</s>>>>><p>",'No grites cuando te llevemos...'. 'El mundo está en silencio'.
80,¿Hay otros?,¿Hay otros?,<s>¿Hay otros?</s>>>>><p>¿Hay otros?</p>,<s>¿Hay otros?</s>>>>><p>,¿Hay otros?
81,¿Mi vieja radio? La que usas para escuchar tus CD,¿La radio esa? Donde reproduces los CD,<s>¿Mi vieja radio? La que usas para escuchar tus CD</s>>>>><p>¿La radio esa? Donde reproduces los CD</p>,<s>¿Mi vieja radio? La que usas para escuchar tus CD</s>>>>><p>,¿Mi vieja radio? La que usas para escuchar tus CD
82,"Porque eso harás, ¿o no? Eso hacen las zorras. Vete a la mierda.","Porque lo disfrutarás, ¿no? Porque eso hacen las zorras. Que te den.","<s>Porque eso harás, ¿o no? Eso hacen las zorras. Vete a la mierda.</s>>>>><p>Porque lo disfrutarás, ¿no? Porque eso hacen las zorras. Que te den.</p>","<s>Porque eso harás, ¿o no? Eso hacen las zorras. Vete a la mierda.</s>>>>><p>",¿O no? Eso hacen las zorras. Vete a la mierda.
83,¿Steve?,¿Steve?,<s>¿Steve?</s>>>>><p>¿Steve?</p>,<s>¿Steve?</s>>>>><p>,¿Steve?
84,"comen comida chatarra, fuman marihuana, toman cerveza, experimentan sexualmente.","Comerán fatal, fumarán porros, beberán cerveza, experimentarán con el sexo.","<s>comen comida chatarra, fuman marihuana, toman cerveza, experimentan sexualmente.</s>>>>><p>Comerán fatal, fumarán porros, beberán cerveza, experimentarán con el sexo.</p>","<s>comen comida chatarra, fuman marihuana, toman cerveza, experimentan sexualmente.</s>>>>><p>","comen comida chatarra, fuman marihuana, beben sexualmente."
85,"Gracias. A ver si entiendo. Usted es un nuevo asistente que me envía, aunque no lo pedí,","Gracias. A ver si lo entiendo. Eres mi nuevo ayudante, que me ha enviado, sin siquiera pedirlo,","<s>Gracias. A ver si entiendo. Usted es un nuevo asistente que me envía, aunque no lo pedí,</s>>>>><p>Gracias. A ver si lo entiendo. Eres mi nuevo ayudante, que me ha enviado, sin siquiera pedirlo,</p>","<s>Gracias. A ver si entiendo. Usted es un nuevo asistente que me envía, aunque no lo pedí,</s>>>>><p>","Gracias. A ver si lo entiendo. Usted es un nuevo ayudante que me envía, pero no lo he pedido,"
86,"Ya nos encargaremos de eso, pero ahora cenaremos comida de verdad.","Vale, ya lo haremos, pero por ahora vamos a comer comida de verdad.","<s>Ya nos encargaremos de eso, pero ahora cenaremos comida de verdad.</s>>>>><p>Vale, ya lo haremos, pero por ahora vamos a comer comida de verdad.</p>","<s>Ya nos encargaremos de eso, pero ahora cenaremos comida de verdad.</s>>>>><p>","¿Nos vamos a cenar? Nos vamos a cenar, pero cenaremos de verdad."
87,¿Qué pasa con Dana Sue?,¿Qué le pasa a Dana Sue?,<s>¿Qué pasa con Dana Sue?</s>>>>><p>¿Qué le pasa a Dana Sue?</p>,<s>¿Qué pasa con Dana Sue?</s>>>>><p>,¿Qué pasa con Dana Sue?
88,Será un gran show. ¿Cual es tu verdadero nombre? No te llamaré Pastelito.,"Va a ser un programa estupendo. ¿Cómo te llamas de verdad? No voy a llamarte ""pastelito"".","<s>Será un gran show. ¿Cual es tu verdadero nombre? No te llamaré Pastelito.</s>>>>><p>Va a ser un programa estupendo. ¿Cómo te llamas de verdad? No voy a llamarte ""pastelito"".</p>",<s>Será un gran show. ¿Cual es tu verdadero nombre? No te llamaré Pastelito.</s>>>>><p>,Dale un espectáculo. ¿Quién es tu verdadero nombre? No te llamaré Pastelito.
89,Quería que tuvieras mejores cosas que las que había tenido yo.,Quería que tuvieras mejores cosas que yo.,<s>Quería que tuvieras mejores cosas que las que había tenido yo.</s>>>>><p>Quería que tuvieras mejores cosas que yo.</p>,<s>Quería que tuvieras mejores cosas que las que había tenido yo.</s>>>>><p>,...te quería más que a ti.
90,Sé que socializar con la familia extensa no es para cualquiera.,Ya lo sé. Socializar con la familia al completo no es lo más.,<s>Sé que socializar con la familia extensa no es para cualquiera.</s>>>>><p>Ya lo sé. Socializar con la familia al completo no es lo más.</p>,<s>Sé que socializar con la familia extensa no es para cualquiera.</s>>>>><p>,No es para nadie.
91,Porque es la historia que debo contar yo y nadie más.,Porque es mi puta historia. De nadie más.,<s>Porque es la historia que debo contar yo y nadie más.</s>>>>><p>Porque es mi puta historia. De nadie más.</p>,<s>Porque es la historia que debo contar yo y nadie más.</s>>>>><p>,Es la historia que tengo que contar yo y nadie más.
92,"No eran amigos, claro. ¿Con quién pasaba tiempo Bryce después de irse de Liberty?","No eran amigos, desde luego. ¿Con quién se veía Bryce cuando dejó Liberty?","<s>No eran amigos, claro. ¿Con quién pasaba tiempo Bryce después de irse de Liberty?</s>>>>><p>No eran amigos, desde luego. ¿Con quién se veía Bryce cuando dejó Liberty?</p>","<s>No eran amigos, claro. ¿Con quién pasaba tiempo Bryce después de irse de Liberty?</s>>>>><p>","No eran amigos, claro. ¿Con quién iba a pasar el tiempo Bryce después de salir de Liberty?"
93,No tan maravilloso.,No fue tan maravilloso.,<s>No tan maravilloso.</s>>>>><p>No fue tan maravilloso.</p>,<s>No tan maravilloso.</s>>>>><p>,No tan maravilloso.
94,Hice muchas cosas. Cuéntale a la policía. O a tus padres. No.,Y he hecho muchas cosas. ¿No se lo puedes decir a la poli? ¿O a tus padres? No.,<s>Hice muchas cosas. Cuéntale a la policía. O a tus padres. No.</s>>>>><p>Y he hecho muchas cosas. ¿No se lo puedes decir a la poli? ¿O a tus padres? No.</p>,<s>Hice muchas cosas. Cuéntale a la policía. O a tus padres. No.</s>>>>><p>,...he hecho muchas cosas. Cuéntale a la policía. O a tus padres. No.
95,Dos actores. Tres horas. Sí. Sin entreacto. Es una obra intensa. Es muy intensa.,Dos actores. Tres horas. Sí. Sin intermedio. Qué obra tan intensa. Intensísima.,<s>Dos actores. Tres horas. Sí. Sin entreacto. Es una obra intensa. Es muy intensa.</s>>>>><p>Dos actores. Tres horas. Sí. Sin intermedio. Qué obra tan intensa. Intensísima.</p>,<s>Dos actores. Tres horas. Sí. Sin entreacto. Es una obra intensa. Es muy intensa.</s>>>>><p>,Dos actores. Dos horas. Sí. Sin entreacto. Es una obra intensa.
96,Y quería que yo tampoco hablase.,Y su idea era que yo tampoco hablase.,<s>Y quería que yo tampoco hablase.</s>>>>><p>Y su idea era que yo tampoco hablase.</p>,<s>Y quería que yo tampoco hablase.</s>>>>><p>,Y quería que no hablase.
97,Y tengo piel,Y tengo piel,<s>Y tengo piel</s>>>>><p>Y tengo piel</p>,<s>Y tengo piel</s>>>>><p>,Y tengo piel
98,¡Es una tontería! ¡Ni siquiera consumo cocaína!,¡Esto es de locos! ¡Yo no me meto coca!,<s>¡Es una tontería! ¡Ni siquiera consumo cocaína!</s>>>>><p>¡Esto es de locos! ¡Yo no me meto coca!</p>,<s>¡Es una tontería! ¡Ni siquiera consumo cocaína!</s>>>>><p>,¡Es una gilipollez! ¡Ni siquiera uso cocaína!
99,"Espera, espera un segundo Voy a checkearlas una vez más. Bien","Espera, espera un segundo. Déjame otra vez. Vale.","<s>Espera, espera un segundo Voy a checkearlas una vez más. Bien</s>>>>><p>Espera, espera un segundo. Déjame otra vez. Vale.</p>","<s>Espera, espera un segundo Voy a checkearlas una vez más. Bien</s>>>>><p>",¡Espera un segundo! Voy a checkearlas una vez más. Vale.
100,"Estoy cansado. Si no estuviste drogándote, ¿qué estuviste haciendo durante 48 horas?","Solo estoy cansado. Entonces, si no te estabas metiendo, ¿qué has hecho las últimas 48 horas?","<s>Estoy cansado. Si no estuviste drogándote, ¿qué estuviste haciendo durante 48 horas?</s>>>>><p>Solo estoy cansado. Entonces, si no te estabas metiendo, ¿qué has hecho las últimas 48 horas?</p>","<s>Estoy cansado. Si no estuviste drogándote, ¿qué estuviste haciendo durante 48 horas?</s>>>>><p>","Estoy cansado. Si no has estado drogado, ¿qué has hecho durante 48 horas?"
101,La vestida de rosado. ¡Qué tetas!,Mira a ésa. La de rosa. Qué preciosidad. Mira qué tetas.,<s>La vestida de rosado. ¡Qué tetas!</s>>>>><p>Mira a ésa. La de rosa. Qué preciosidad. Mira qué tetas.</p>,<s>La vestida de rosado. ¡Qué tetas!</s>>>>><p>,-Es de rosa. -¡Qué tetas!
102,"Habías dicho que el café aquí está sobrevalorado. Sí, lo dice todo el tiempo.","Dijiste que aquí era demasiado caro. Sí, siempre lo dice.","<s>Habías dicho que el café aquí está sobrevalorado. Sí, lo dice todo el tiempo.</s>>>>><p>Dijiste que aquí era demasiado caro. Sí, siempre lo dice.</p>","<s>Habías dicho que el café aquí está sobrevalorado. Sí, lo dice todo el tiempo.</s>>>>><p>","...habías dicho que el café está sobrevalorado. Sí, lo dice todo el tiempo."
103,Debe ser por lo que pasó hoy con Layan y su pandilla.,Será por lo que ha pasado hoy con Layan y su pandilla.,<s>Debe ser por lo que pasó hoy con Layan y su pandilla.</s>>>>><p>Será por lo que ha pasado hoy con Layan y su pandilla.</p>,<s>Debe ser por lo que pasó hoy con Layan y su pandilla.</s>>>>><p>,Por lo que pasó hoy con Layan y su pandilla.
104,No sabía que era joven. Camille quería presentarme a su hermano. Y era un gran experto.,No sabía su edad. Camille me habló de un hermano. Y era todo un experto.,<s>No sabía que era joven. Camille quería presentarme a su hermano. Y era un gran experto.</s>>>>><p>No sabía su edad. Camille me habló de un hermano. Y era todo un experto.</p>,<s>No sabía que era joven. Camille quería presentarme a su hermano. Y era un gran experto.</s>>>>><p>,No sabía que era joven. Camille quería presentarme a su hermano. Y era un gran experto.
105,"Caballeros, adelante. Vamos.","Bien, señores, adelante. Vamos.","<s>Caballeros, adelante. Vamos.</s>>>>><p>Bien, señores, adelante. Vamos.</p>","<s>Caballeros, adelante. Vamos.</s>>>>><p>","Caballeros, adelante. Vamos."
106,"Lo siento, es que... Noreen y yo no tuvimos la oportunidad de hablar de su familia.","Lo siento, es que... Noreen y yo no hemos podido hablar mucho de vuestra familia.","<s>Lo siento, es que... Noreen y yo no tuvimos la oportunidad de hablar de su familia.</s>>>>><p>Lo siento, es que... Noreen y yo no hemos podido hablar mucho de vuestra familia.</p>","<s>Lo siento, es que... Noreen y yo no tuvimos la oportunidad de hablar de su familia.</s>>>>><p>", Noreen y yo no hemos tenido la oportunidad de hablar de su familia.
107,"¡Sí, nena! Luego fuimos al otro club y no había nadie.","¡Sí, chica! Después fuimos al segundo club y no había nadie.","<s>¡Sí, nena! Luego fuimos al otro club y no había nadie.</s>>>>><p>¡Sí, chica! Después fuimos al segundo club y no había nadie.</p>","<s>¡Sí, nena! Luego fuimos al otro club y no había nadie.</s>>>>><p>","¡Sí, nena! Después fuimos al club y no había nadie."
108,Tengo novedades. Madeline está embarazada.,Tengo un notición. Madeline está embarazada.,<s>Tengo novedades. Madeline está embarazada.</s>>>>><p>Tengo un notición. Madeline está embarazada.</p>,<s>Tengo novedades. Madeline está embarazada.</s>>>>><p>,¿Qué? Madeline está embarazada.
109,"Le pago, controlo las condiciones y estoy feliz. No me juzgues.","Yo le pago, pongo mis normas y estoy contenta, así que no me juzgues.","<s>Le pago, controlo las condiciones y estoy feliz. No me juzgues.</s>>>>><p>Yo le pago, pongo mis normas y estoy contenta, así que no me juzgues.</p>","<s>Le pago, controlo las condiciones y estoy feliz. No me juzgues.</s>>>>><p>","Le pago, controlo las condiciones y estoy feliz. No me juzgues."
110,pero hace dos semanas que quiero atreverme a preguntarte,...llevo como dos semanas intentando reunir valor para pedirte...,<s>pero hace dos semanas que quiero atreverme a preguntarte</s>>>>><p>...llevo como dos semanas intentando reunir valor para pedirte...</p>,<s>pero hace dos semanas que quiero atreverme a preguntarte</s>>>>><p>,...pero hace dos semanas que quiero atreverme a preguntarte
111,y le arruinamos la vida a Ruqayya para nada. Ahí está. Acabas de decirlo.,Y le habríamos arruinado la vida a Ruqayya para nada. Eso es. Tú misma lo has dicho.,<s>y le arruinamos la vida a Ruqayya para nada. Ahí está. Acabas de decirlo.</s>>>>><p>Y le habríamos arruinado la vida a Ruqayya para nada. Eso es. Tú misma lo has dicho.</p>,<s>y le arruinamos la vida a Ruqayya para nada. Ahí está. Acabas de decirlo.</s>>>>><p>,y le hemos arruinado la vida a Ruqayya para nada. Ahí está. Acabas de decirlo.
112,Puedes acomodarte la blusa.,Puedes ponerte la blusa.,<s>Puedes acomodarte la blusa.</s>>>>><p>Puedes ponerte la blusa.</p>,<s>Puedes acomodarte la blusa.</s>>>>><p>,Puedes apoyar la blusa.
113,Necesitas mucha información. IMFORMACIÓN Muchos le dicen capitalismo de vigilancia.,"Se necesitan muchos datos. DATOS Lo llaman ""capitalismo de vigilancia"".","<s>Necesitas mucha información. IMFORMACIÓN Muchos le dicen capitalismo de vigilancia.</s>>>>><p>Se necesitan muchos datos. DATOS Lo llaman ""capitalismo de vigilancia"".</p>",<s>Necesitas mucha información. IMFORMACIÓN Muchos le dicen capitalismo de vigilancia.</s>>>>><p>,Necesitas mucha información. IMFORMACIÓN Muchos le dicen capitalismo de vigilancia.
114,un poco antes de acostarme.,antes de la hora de acostar.,<s>un poco antes de acostarme.</s>>>>><p>antes de la hora de acostar.</p>,<s>un poco antes de acostarme.</s>>>>><p>,...un poco antes de acostarme.
115,Singer no exigía la cantidad de dinero que se requiere hoy,Singer no exigía las sumas que hacen falta hoy,<s>Singer no exigía la cantidad de dinero que se requiere hoy</s>>>>><p>Singer no exigía las sumas que hacen falta hoy</p>,<s>Singer no exigía la cantidad de dinero que se requiere hoy</s>>>>><p>,Singer no necesitaba el dinero que se requiere hoy
116,"Muy bien, elegir ubicación. El mismo tipo. A cero minutos.","Muy bien, lugar de recogida. El mismo tío.","<s>Muy bien, elegir ubicación. El mismo tipo. A cero minutos.</s>>>>><p>Muy bien, lugar de recogida. El mismo tío.</p>","<s>Muy bien, elegir ubicación. El mismo tipo. A cero minutos.</s>>>>><p>",Date prisa. El mismo tipo. A cero minutos.
117,Y la hacemos reír,Procurando hacerles llorar ,<s>Y la hacemos reír</s>>>>><p>Procurando hacerles llorar </p>,<s>Y la hacemos reír</s>>>>><p>,Y la hacemos reír
118,y la primera que subió a escena fue tu mamá.,y la primera que salió fue tu madre.,<s>y la primera que subió a escena fue tu mamá.</s>>>>><p>y la primera que salió fue tu madre.</p>,<s>y la primera que subió a escena fue tu mamá.</s>>>>><p>,...y la primera que subió a escena fue tu madre.
119,Te lancé. ¡Creí en ti! ¡Y te fui leal!,Te di tu primera oportunidad. Era el único que creía en ti. Mantuve mi lealtad hacia ti.,<s>Te lancé. ¡Creí en ti! ¡Y te fui leal!</s>>>>><p>Te di tu primera oportunidad. Era el único que creía en ti. Mantuve mi lealtad hacia ti.</p>,<s>Te lancé. ¡Creí en ti! ¡Y te fui leal!</s>>>>><p>,Te he tirado. ¡Te he echado de menos! ¡Y te he sido leal!
120,Imagino lo horrible que debe de ser que te echen de una nube,Sería horrible ser sacado de una nube,<s>Imagino lo horrible que debe de ser que te echen de una nube</s>>>>><p>Sería horrible ser sacado de una nube</p>,<s>Imagino lo horrible que debe de ser que te echen de una nube</s>>>>><p>,"Digo, me da que te echen de una nube"
121,Alguien a quien le esté yendo muy mal...,Alguien que lo esté pasando muy mal...,<s>Alguien a quien le esté yendo muy mal...</s>>>>><p>Alguien que lo esté pasando muy mal...</p>,<s>Alguien a quien le esté yendo muy mal...</s>>>>><p>,...a alguien que le esté yendo muy mal...
122,El emperador japonés enviará instructores militares a Manchuria.,El emperador ha aceptado,<s>El emperador japonés enviará instructores militares a Manchuria.</s>>>>><p>El emperador ha aceptado</p>,<s>El emperador japonés enviará instructores militares a Manchuria.</s>>>>><p>,El emperador japonés enviará a los soldados a Manchuria.
123,"Bueno, los dejaré solos.",Ahora es cosa vuestra.,"<s>Bueno, los dejaré solos.</s>>>>><p>Ahora es cosa vuestra.</p>","<s>Bueno, los dejaré solos.</s>>>>><p>",¿Os dejo solos?
124,Eres una porquería.,Eres lo peor.,<s>Eres una porquería.</s>>>>><p>Eres lo peor.</p>,<s>Eres una porquería.</s>>>>><p>,¡Eres una mierda!
125,Pienso lo mismo de él.,Pienso lo mismo de él.,<s>Pienso lo mismo de él.</s>>>>><p>Pienso lo mismo de él.</p>,<s>Pienso lo mismo de él.</s>>>>><p>,...lo mismo de él.
126,¡Quemen a los niños!,¡Quememos a esos niños!,<s>¡Quemen a los niños!</s>>>>><p>¡Quememos a esos niños!</p>,<s>¡Quemen a los niños!</s>>>>><p>,¡Quemen a los niños!
127,Estaba fumando.,Estaba fumando en horas de trabajo.,<s>Estaba fumando.</s>>>>><p>Estaba fumando en horas de trabajo.</p>,<s>Estaba fumando.</s>>>>><p>,Estaba fumando.
128,Fue desarrollado especialmente para Polyakov.,Y fue desarrollado de forma específica para Polyakov.,<s>Fue desarrollado especialmente para Polyakov.</s>>>>><p>Y fue desarrollado de forma específica para Polyakov.</p>,<s>Fue desarrollado especialmente para Polyakov.</s>>>>><p>,Fue desarrollado especialmente para Polyakov.
